ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor
603489.SH,20191111,52.13,62.55,52.13,62.55,43.44,19.11,43.9917,25640.18,160259.204,1.0
603489.SH,20191112,63.0,68.81,62.01,68.81,62.55,6.260000000000005,10.008,48051.74,315248.718,1.0
603489.SH,20191113,75.69,75.69,70.3,72.11,68.81,3.299999999999997,4.7958,182703.21,1341600.943,1.0
603489.SH,20191114,75.0,79.32,74.0,79.32,72.11,7.209999999999994,9.9986,133672.6,1018437.637,1.0
603489.SH,20191115,81.5,87.25,76.0,83.09,79.32,3.7700000000000102,4.7529,143924.76,1193691.892,1.0
603489.SH,20191118,86.72,91.4,82.8,91.4,83.09,8.310000000000002,10.0012,124294.72,1085011.796,1.0
603489.SH,20191119,93.92,100.54,92.5,100.54,91.4,9.14,10.0,94055.49,911438.028,1.0
603489.SH,20191120,102.0,104.95,90.49,92.13,100.54,-8.41000000000001,-8.3648,118439.99,1126384.759,1.0
603489.SH,20191121,97.0,100.0,95.5,97.99,92.13,5.859999999999999,6.3606,111778.48,1090376.143,1.0
603489.SH,20191122,96.68,99.99,92.05,97.58,97.99,-0.4099999999999966,-0.4184,91259.92,879718.861,1.0
603489.SH,20191125,99.6,99.96,92.58,93.27,97.58,-4.310000000000002,-4.4169,80804.19,779367.365,1.0
603489.SH,20191126,91.0,93.27,86.68,91.5,93.27,-1.769999999999996,-1.8977,79184.74,711211.656,1.0
603489.SH,20191127,90.46,91.22,88.01,88.97,91.5,-2.530000000000001,-2.765,53451.0,478064.014,1.0
603489.SH,20191128,89.0,89.6,84.5,86.15,88.97,-2.819999999999993,-3.1696,66002.52,569803.668,1.0
603489.SH,20191129,86.57,86.77,81.34,82.5,86.15,-3.6500000000000057,-4.2368,62484.64,523192.965,1.0
603489.SH,20191202,82.9,87.49,82.23,87.04,82.5,4.540000000000006,5.503,70776.96,602585.9,1.0
603489.SH,20191203,86.0,88.04,84.0,86.93,87.04,-0.10999999999999943,-0.1264,52827.57,455981.198,1.0
603489.SH,20191204,87.5,95.0,87.5,91.31,86.93,4.3799999999999955,5.0385,65594.05,600874.501,1.0
603489.SH,20191205,90.98,94.88,90.1,93.11,91.31,1.7999999999999972,1.9713,50247.66,464963.601,1.0
603489.SH,20191206,93.11,95.88,90.91,92.74,93.11,-0.37000000000000455,-0.3974,44214.28,411361.798,1.0
603489.SH,20191209,92.0,97.27,90.5,95.12,92.74,2.3800000000000097,2.5663,48647.55,458615.947,1.0
603489.SH,20191210,94.05,97.06,93.86,94.85,95.12,-0.27000000000001023,-0.2839,34541.57,329428.052,1.0
603489.SH,20191211,94.0,94.88,92.22,92.59,94.85,-2.259999999999991,-2.3827,30649.07,285892.805,1.0
603489.SH,20191212,92.52,92.52,87.18,87.77,92.59,-4.820000000000007,-5.2057,37125.83,331818.988,1.0
603489.SH,20191213,88.88,94.88,88.88,93.39,87.77,5.6200000000000045,6.4031,33949.28,313850.926,1.0
603489.SH,20191216,93.38,94.51,91.28,94.51,93.39,1.1200000000000045,1.1993,27487.39,256239.954,1.0
603489.SH,20191217,93.89,100.98,93.87,97.63,94.51,3.1199999999999903,3.3012,36334.63,355839.811,1.0
603489.SH,20191218,97.19,98.87,95.71,98.73,97.63,1.1000000000000085,1.1267,21584.75,209669.189,1.0
603489.SH,20191219,100.25,102.0,96.33,100.39,98.73,1.6599999999999966,1.6814,22754.24,224836.649,1.0
603489.SH,20191220,99.8,110.43,98.1,108.08,100.39,7.689999999999998,7.6601,36633.93,383097.316,1.0
603489.SH,20191223,105.0,115.6,105.0,109.52,108.08,1.4399999999999977,1.3323,36323.1,403047.888,1.0
603489.SH,20191224,110.45,112.7,106.1,109.14,109.52,-0.37999999999999545,-0.347,21260.79,232954.129,1.0
603489.SH,20191225,108.0,110.4,102.9,105.1,109.14,-4.040000000000006,-3.7017,27285.83,286422.817,1.0
603489.SH,20191226,105.2,110.62,104.25,106.7,105.1,1.6000000000000085,1.5224,27393.48,294268.692,1.0
603489.SH,20191227,106.0,107.1,102.35,102.8,106.7,-3.9000000000000057,-3.6551,20095.79,209383.926,1.0
603489.SH,20191230,100.0,103.97,97.88,101.49,102.8,-1.3100000000000023,-1.2743,17746.25,179935.6,1.0
603489.SH,20191231,102.26,105.78,101.62,102.74,101.49,1.25,1.2316,14652.86,152549.159,1.0
603489.SH,20200102,102.34,105.0,99.94,104.8,102.74,2.0600000000000023,2.0051,22500.64,231738.976,1.0
603489.SH,20200103,104.3,104.49,100.8,101.8,104.8,-3.0,-2.8626,17791.45,182306.313,1.0
603489.SH,20200106,99.7,102.48,98.5,100.12,101.8,-1.6799999999999926,-1.6503,17012.94,170459.022,1.0
603489.SH,20200107,100.25,109.84,100.18,108.52,100.12,8.399999999999991,8.3899,28616.27,304266.097,1.0
603489.SH,20200108,106.46,108.0,105.2,105.42,108.52,-3.0999999999999943,-2.8566,15093.22,161073.532,1.0
603489.SH,20200109,107.47,109.3,105.4,106.0,105.42,0.5799999999999983,0.5502,12910.47,138347.662,1.0
603489.SH,20200110,107.05,107.6,103.0,106.4,106.0,0.4000000000000057,0.3774,9438.4,99461.209,1.0
603489.SH,20200113,106.1,110.38,105.06,109.76,106.4,3.3599999999999994,3.1579,12952.92,139617.579,1.0
603489.SH,20200114,109.77,110.7,106.48,106.7,109.76,-3.0600000000000023,-2.7879,12011.61,129665.519,1.0
603489.SH,20200115,105.5,105.99,103.33,105.33,106.7,-1.3700000000000045,-1.284,11258.68,117744.383,1.0
603489.SH,20200116,105.99,106.0,103.5,105.34,105.33,0.010000000000005116,0.0095,8198.67,86065.381,1.0
603489.SH,20200117,105.5,110.3,104.84,107.8,105.34,2.4599999999999937,2.3353,14217.27,154044.945,1.0
603489.SH,20200120,109.69,112.68,101.89,103.64,107.8,-4.159999999999997,-3.859,30484.08,317802.02,1.0
603489.SH,20200121,102.4,102.59,97.66,97.68,103.64,-5.959999999999994,-5.7507,19758.3,197603.394,1.0
603489.SH,20200122,98.0,100.93,94.5,98.96,97.68,1.279999999999987,1.3104,20857.91,205863.012,1.0
603489.SH,20200123,98.01,104.65,97.11,101.0,98.96,2.0400000000000063,2.0614,26442.9,270343.47,1.0
603489.SH,20200203,90.9,92.86,90.9,90.9,101.0,-10.099999999999994,-10.0,13725.44,124894.611,1.0
603489.SH,20200204,91.1,97.86,91.1,96.8,90.9,5.8999999999999915,6.4906,14692.47,139822.572,1.0
