ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor
605199.SH,20200710,6.23,7.47,6.23,7.47,5.19,2.2799999999999994,43.9306,543.01,405.504,1.0
605199.SH,20200713,8.22,8.22,8.22,8.22,7.47,0.7500000000000009,10.0402,232.1,190.786,1.0
605199.SH,20200714,9.04,9.04,9.04,9.04,8.22,0.8199999999999985,9.9757,250.58,226.524,1.0
605199.SH,20200715,9.94,9.94,9.94,9.94,9.04,0.9000000000000004,9.9558,216.11,214.813,1.0
605199.SH,20200716,10.93,10.93,10.93,10.93,9.94,0.9900000000000002,9.9598,766.06,837.304,1.0
605199.SH,20200717,12.02,12.02,12.02,12.02,10.93,1.0899999999999999,9.9726,797.64,958.763,1.0
605199.SH,20200720,13.22,13.22,13.22,13.22,12.02,1.200000000000001,9.9834,932.62,1232.924,1.0
605199.SH,20200721,14.54,14.54,14.54,14.54,13.22,1.3199999999999985,9.9849,1402.68,2039.497,1.0
605199.SH,20200722,15.99,15.99,15.99,15.99,14.54,1.450000000000001,9.9725,1858.11,2971.118,1.0
605199.SH,20200723,17.59,17.59,17.59,17.59,15.99,1.5999999999999996,10.0063,1823.53,3207.589,1.0
605199.SH,20200724,19.35,19.35,19.35,19.35,17.59,1.7600000000000016,10.0057,2892.55,5597.084,1.0
605199.SH,20200727,21.29,21.29,21.29,21.29,19.35,1.9399999999999977,10.0258,2638.6,5617.579,1.0
605199.SH,20200728,23.42,23.42,23.42,23.42,21.29,2.1300000000000026,10.0047,1531.76,3587.382,1.0
605199.SH,20200729,25.76,25.76,25.76,25.76,23.42,2.34,9.9915,4279.72,11024.559,1.0
605199.SH,20200730,28.34,28.34,28.34,28.34,25.76,2.5799999999999983,10.0155,20889.61,59201.155,1.0
605199.SH,20200731,31.17,31.17,31.17,31.17,28.34,2.830000000000002,9.9859,11016.02,34336.934,1.0
605199.SH,20200803,34.29,34.29,34.29,34.29,31.17,3.1199999999999974,10.0096,8659.32,29692.808,1.0
605199.SH,20200804,37.72,37.72,37.72,37.72,34.29,3.4299999999999997,10.0029,2727.55,10288.319,1.0
605199.SH,20200805,41.49,41.49,41.49,41.49,37.72,3.770000000000003,9.9947,102111.99,423662.647,1.0
605199.SH,20200806,44.99,45.64,42.88,45.64,41.49,4.149999999999999,10.0024,187540.01,840855.335,1.0
605199.SH,20200807,47.38,49.88,43.73,48.47,45.64,2.8299999999999983,6.2007,304811.23,1432822.692,1.0
605199.SH,20200810,44.27,46.64,43.62,43.63,48.47,-4.839999999999996,-9.9856,189824.6,847406.054,1.0
605199.SH,20200811,42.51,42.75,39.27,39.27,43.63,-4.359999999999999,-9.9931,164561.76,667261.621,1.0
605199.SH,20200812,38.36,41.49,36.28,41.38,39.27,2.1099999999999994,5.3731,168534.36,660914.957,1.0
605199.SH,20200813,39.85,40.09,37.3,37.37,41.38,-4.010000000000005,-9.6907,126737.83,490950.119,1.0
605199.SH,20200814,36.11,36.5,34.3,35.02,37.37,-2.3499999999999943,-6.2885,112318.61,395629.533,1.0
605199.SH,20200817,34.76,36.57,34.32,35.71,35.02,0.6899999999999977,1.9703,91056.86,322858.085,1.0
605199.SH,20200818,35.61,38.85,35.6,38.32,35.71,2.6099999999999994,7.3089,129917.56,488299.139,1.0
605199.SH,20200819,37.21,37.38,35.08,35.36,38.32,-2.960000000000001,-7.7244,98591.65,355276.912,1.0
605199.SH,20200820,34.66,38.0,33.6,37.05,35.36,1.6899999999999977,4.7794,115107.13,410816.823,1.0
605199.SH,20200821,36.61,37.86,35.88,36.32,37.05,-0.7299999999999969,-1.9703,85584.03,314577.887,1.0
605199.SH,20200824,35.51,35.56,33.9,34.44,36.32,-1.8800000000000026,-5.1762,72440.54,250533.867,1.0
605199.SH,20200825,34.44,35.35,33.8,33.87,34.44,-0.5700000000000003,-1.6551,60624.55,207660.202,1.0
605199.SH,20200826,33.69,33.69,32.1,32.11,33.87,-1.759999999999998,-5.1963,71120.92,232436.347,1.0
605199.SH,20200827,31.6,32.8,31.6,32.3,32.11,0.18999999999999773,0.5917,42642.84,137531.388,1.0
605199.SH,20200828,32.22,32.58,31.2,31.94,32.3,-0.3599999999999959,-1.1146,51267.38,162907.308,1.0
605199.SH,20200831,32.04,33.05,31.78,32.73,31.94,0.7899999999999956,2.4734,55337.28,180045.412,1.0
605199.SH,20200901,32.6,32.6,31.61,31.94,32.73,-0.7899999999999956,-2.4137,38883.34,124099.105,1.0
605199.SH,20200902,32.04,32.33,31.34,31.44,31.94,-0.5,-1.5654,37320.52,118241.12,1.0
605199.SH,20200903,31.37,32.28,30.46,31.48,31.44,0.03999999999999915,0.1272,43039.84,135653.852,1.0
605199.SH,20200904,30.83,31.0,30.13,30.51,31.48,-0.9699999999999989,-3.0813,39917.17,121930.743,1.0
605199.SH,20200907,30.3,31.2,29.94,30.06,30.51,-0.45000000000000284,-1.4749,29447.58,89373.788,1.0
605199.SH,20200908,30.06,30.36,28.9,29.13,30.06,-0.9299999999999997,-3.0938,38911.83,114250.424,1.0
605199.SH,20200909,28.5,28.7,26.92,27.02,29.13,-2.1099999999999994,-7.2434,52321.35,144866.159,1.0
605199.SH,20200910,27.37,28.2,26.64,27.26,27.02,0.240000000000002,0.8882,37772.35,103029.884,1.0
605199.SH,20200911,26.99,27.6,26.3,27.6,27.26,0.33999999999999986,1.2472,29580.34,80216.205,1.0
605199.SH,20200914,27.17,28.25,27.17,28.09,27.6,0.48999999999999844,1.7754,29305.42,81686.596,1.0
605199.SH,20200915,28.35,30.0,27.88,29.35,28.09,1.2600000000000016,4.4856,54850.78,159142.184,1.0
605199.SH,20200916,29.0,29.99,28.52,29.58,29.35,0.22999999999999687,0.7836,53200.29,156283.262,1.0
605199.SH,20200917,29.78,29.78,28.5,28.88,29.58,-0.6999999999999993,-2.3665,31827.61,92131.784,1.0
605199.SH,20200918,28.99,29.45,28.58,28.86,28.88,-0.019999999999999574,-0.0693,28928.92,83618.213,1.0
605199.SH,20200921,28.9,30.2,28.3,29.5,28.86,0.6400000000000006,2.2176,45050.07,132232.096,1.0
605199.SH,20200922,29.03,29.8,26.6,28.7,29.5,-0.8000000000000007,-2.7119,36375.11,105829.473,1.0
605199.SH,20200923,29.65,30.68,28.7,30.54,28.7,1.8399999999999999,6.4111,72209.06,217713.654,1.0
605199.SH,20200924,30.2,30.61,29.36,29.37,30.54,-1.1699999999999982,-3.831,43270.76,129181.098,1.0
605199.SH,20200925,29.5,29.69,27.0,27.59,29.37,-1.7800000000000011,-6.0606,50117.58,140741.252,1.0
605199.SH,20200928,27.58,27.9,25.0,26.95,27.59,-0.6400000000000006,-2.3197,36862.55,99089.523,1.0
605199.SH,20200929,26.5,27.37,26.04,26.42,26.95,-0.5299999999999976,-1.9666,29482.3,78647.902,1.0
605199.SH,20200930,26.83,27.19,26.35,26.95,26.42,0.5299999999999976,2.0061,19698.0,52598.197,1.0
605199.SH,20201009,27.0,28.16,27.0,27.91,26.95,0.9600000000000009,3.5622,24617.38,68005.614,1.0
605199.SH,20201012,28.31,28.77,27.93,28.68,27.91,0.7699999999999996,2.7589,27334.92,77773.278,1.0
605199.SH,20201013,28.75,29.5,28.44,29.25,28.68,0.5700000000000003,1.9874,34757.12,101088.324,1.0
605199.SH,20201014,29.35,30.18,28.7,28.86,29.25,-0.39000000000000057,-1.3333,41839.57,123209.71,1.0
605199.SH,20201015,30.17,30.17,28.15,28.27,28.86,-0.5899999999999999,-2.0444,35590.98,102588.108,1.0
605199.SH,20201016,28.01,31.0,27.82,30.3,28.27,2.030000000000001,7.1808,68467.63,202481.792,1.0
605199.SH,20201019,30.28,30.28,28.65,28.99,30.3,-1.3100000000000023,-4.3234,56391.72,165232.758,1.0
605199.SH,20201020,29.01,29.01,28.24,28.84,28.99,-0.14999999999999858,-0.5174,27958.65,79841.18,1.0
605199.SH,20201021,28.78,29.45,28.66,28.7,28.84,-0.14000000000000057,-0.4854,25271.95,73300.599,1.0
605199.SH,20201022,28.7,28.7,27.14,27.21,28.7,-1.4899999999999984,-5.1916,35800.63,98406.883,1.0
605199.SH,20201023,27.21,27.64,26.58,26.81,27.21,-0.40000000000000213,-1.47,26737.96,72290.021,1.0
605199.SH,20201026,26.77,27.46,25.88,27.37,26.81,0.5600000000000023,2.0888,22881.83,61387.546,1.0
605199.SH,20201027,27.07,27.46,26.9,27.23,27.37,-0.14000000000000057,-0.5115,11514.39,31328.339,1.0
605199.SH,20201028,27.43,27.6,27.01,27.05,27.23,-0.17999999999999972,-0.661,16846.29,45904.432,1.0
605199.SH,20201029,26.63,27.5,26.55,26.8,27.05,-0.25,-0.9242,17626.16,47520.184,1.0
605199.SH,20201030,26.8,27.01,25.81,25.81,26.8,-0.990000000000002,-3.694,22784.15,59810.969,1.0
605199.SH,20201102,25.81,26.0,25.2,25.27,25.81,-0.5399999999999991,-2.0922,13884.03,35330.407,1.0
605199.SH,20201103,25.05,25.98,25.05,25.86,25.27,0.5899999999999999,2.3348,12110.06,31067.588,1.0
605199.SH,20201104,25.86,26.4,25.86,26.17,25.86,0.3100000000000023,1.1988,15328.36,40061.462,1.0
605199.SH,20201105,26.35,26.5,26.0,26.15,26.17,-0.020000000000003126,-0.0764,15818.23,41355.067,1.0
605199.SH,20201106,26.2,26.32,25.52,25.65,26.15,-0.5,-1.912,16889.39,43352.963,1.0
605199.SH,20201109,25.65,26.35,25.64,26.23,25.65,0.5800000000000018,2.2612,20026.87,52256.267,1.0
605199.SH,20201110,26.31,26.81,25.8,26.29,26.23,0.05999999999999872,0.2287,24821.7,65365.323,1.0
605199.SH,20201111,25.96,26.65,25.71,26.39,26.29,0.10000000000000142,0.3804,22716.37,59459.974,1.0
605199.SH,20201112,26.5,26.65,25.8,25.93,26.39,-0.46000000000000085,-1.7431,15368.69,40150.315,1.0
605199.SH,20201113,26.0,26.0,25.15,25.52,25.93,-0.41000000000000014,-1.5812,15460.61,39373.069,1.0
605199.SH,20201116,25.25,25.65,25.25,25.46,25.52,-0.05999999999999872,-0.2351,10714.31,27209.325,1.0
605199.SH,20201117,25.47,25.47,25.06,25.14,25.46,-0.3200000000000003,-1.2569,13523.0,34009.539,1.0
605199.SH,20201118,25.14,25.4,25.1,25.19,25.14,0.05000000000000071,0.1989,8635.42,21806.616,1.0
605199.SH,20201119,25.19,25.2,25.01,25.15,25.19,-0.0400000000000027,-0.1588,9167.06,23016.584,1.0
605199.SH,20201120,25.28,25.86,25.16,25.57,25.15,0.4200000000000017,1.67,16885.92,43179.518,1.0
605199.SH,20201123,25.84,25.84,25.41,25.5,25.57,-0.07000000000000028,-0.2738,12704.37,32506.691,1.0
605199.SH,20201124,25.36,25.49,25.11,25.26,25.5,-0.23999999999999844,-0.9412,10687.9,26969.443,1.0
605199.SH,20201125,25.26,25.41,25.07,25.12,25.26,-0.14000000000000057,-0.5542,11314.47,28431.235,1.0
605199.SH,20201126,25.19,25.32,25.03,25.08,25.12,-0.0400000000000027,-0.1592,10088.35,25336.668,1.0
605199.SH,20201127,25.01,25.02,23.9,24.09,25.08,-0.9899999999999984,-3.9474,24986.11,60398.59,1.0
605199.SH,20201130,24.01,24.18,23.79,24.08,24.09,-0.010000000000001563,-0.0415,13351.82,32010.573,1.0
605199.SH,20201201,24.06,24.34,24.0,24.3,24.08,0.22000000000000242,0.9136,10145.03,24605.18,1.0
605199.SH,20201202,24.6,25.5,24.25,25.41,24.3,1.1099999999999994,4.5679,31383.34,78368.453,1.0
605199.SH,20201203,25.11,27.95,25.1,27.95,25.41,2.539999999999999,9.9961,45893.34,124802.982,1.0
605199.SH,20201204,29.69,30.7,27.98,28.03,27.95,0.08000000000000185,0.2862,118424.81,348316.152,1.0
605199.SH,20201207,27.46,28.44,26.68,26.84,28.03,-1.1900000000000013,-4.2455,62297.17,169387.417,1.0
605199.SH,20201208,26.73,26.99,25.91,26.26,26.84,-0.5799999999999983,-2.161,44463.36,116619.424,1.0
605199.SH,20201209,26.28,27.17,25.8,26.46,26.26,0.1999999999999993,0.7616,47112.73,125151.988,1.0
605199.SH,20201210,25.9,26.28,25.0,25.2,26.46,-1.2600000000000016,-4.7619,39555.06,100406.891,1.0
605199.SH,20201211,25.21,25.25,24.1,24.55,25.2,-0.6499999999999986,-2.5794,30125.69,73848.758,1.0
605199.SH,20201214,24.57,26.56,24.17,25.8,24.55,1.25,5.0916,36686.49,93134.547,1.0
605199.SH,20201215,25.48,25.86,25.16,25.27,25.8,-0.5300000000000011,-2.0543,22687.23,57823.152,1.0
605199.SH,20201216,25.08,25.29,24.55,24.64,25.27,-0.629999999999999,-2.4931,19773.85,48983.406,1.0
605199.SH,20201217,24.61,26.0,24.61,25.82,24.64,1.1799999999999997,4.789,37532.96,95991.546,1.0
605199.SH,20201218,25.6,25.82,25.0,25.2,25.82,-0.620000000000001,-2.4012,22814.4,57546.921,1.0
605199.SH,20201221,25.17,25.17,24.6,24.96,25.2,-0.23999999999999844,-0.9524,16980.25,42286.433,1.0
605199.SH,20201222,25.02,25.8,24.85,25.1,24.96,0.14000000000000057,0.5609,25007.44,63275.544,1.0
605199.SH,20201223,24.78,24.78,24.25,24.53,25.1,-0.5700000000000003,-2.2709,22361.88,54650.908,1.0
605199.SH,20201224,24.25,24.71,24.04,24.43,24.53,-0.10000000000000142,-0.4077,14675.29,35779.516,1.0
605199.SH,20201225,24.18,24.44,24.08,24.17,24.43,-0.259999999999998,-1.0643,10581.75,25636.031,1.0
605199.SH,20201228,24.0,24.88,23.9,24.18,24.17,0.00999999999999801,0.0414,16417.15,40019.031,1.0
605199.SH,20201229,24.25,24.48,23.8,24.02,24.18,-0.16000000000000014,-0.6617,12043.15,28998.229,1.0
605199.SH,20201230,23.82,24.08,23.82,23.88,24.02,-0.14000000000000057,-0.5828,13200.3,31576.76,1.0
605199.SH,20201231,23.9,24.22,23.89,24.12,23.88,0.240000000000002,1.005,12078.17,29028.177,1.0
605199.SH,20210104,24.45,24.68,24.26,24.45,24.12,0.3299999999999983,1.3682,17378.96,42489.246,1.0
605199.SH,20210105,24.41,25.51,24.23,25.33,24.45,0.879999999999999,3.5992,30886.42,77667.095,1.0
605199.SH,20210106,25.31,26.38,24.49,25.58,25.33,0.25,0.987,37182.46,94404.311,1.0
605199.SH,20210107,25.1,25.49,24.11,24.15,25.58,-1.4299999999999997,-5.5903,28404.35,70126.294,1.0
605199.SH,20210108,24.16,24.16,23.41,23.63,24.15,-0.5199999999999996,-2.1532,17924.72,42529.621,1.0
605199.SH,20210111,23.63,23.75,22.5,22.55,23.63,-1.0799999999999983,-4.5705,20330.86,46697.612,1.0
605199.SH,20210112,22.52,22.9,22.3,22.8,22.55,0.25,1.1086,10124.26,22945.057,1.0
