ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor
300813.SZ,20200114,24.22,26.42,24.22,26.42,18.35,8.07,43.9782,403.47,1065.747,1.0
300813.SZ,20200115,29.06,29.06,29.06,29.06,26.42,2.639999999999997,9.9924,116.0,337.096,1.0
300813.SZ,20200116,31.97,31.97,31.97,31.97,29.06,2.91,10.0138,150.0,479.55,1.0
300813.SZ,20200117,35.17,35.17,35.17,35.17,31.97,3.200000000000003,10.0094,156.21,549.39,1.0
300813.SZ,20200120,38.69,38.69,38.69,38.69,35.17,3.519999999999996,10.0085,422.0,1632.718,1.0
300813.SZ,20200121,42.56,42.56,42.56,42.56,38.69,3.8700000000000045,10.0026,428.24,1822.589,1.0
300813.SZ,20200122,46.82,46.82,46.82,46.82,42.56,4.259999999999998,10.0094,390.9,1830.193,1.0
300813.SZ,20200123,51.5,51.5,51.5,51.5,46.82,4.68,9.9957,1314.2,6768.13,1.0
300813.SZ,20200203,56.65,56.65,56.65,56.65,51.5,5.149999999999999,10.0,3993.73,22624.48,1.0
300813.SZ,20200204,62.32,62.32,62.32,62.32,56.65,5.670000000000002,10.0088,978.0,6094.896,1.0
300813.SZ,20200205,68.55,68.55,68.55,68.55,62.32,6.229999999999997,9.9968,568.0,3893.64,1.0
300813.SZ,20200206,75.41,75.41,75.41,75.41,68.55,6.859999999999999,10.0073,379.0,2858.039,1.0
300813.SZ,20200207,82.95,82.95,82.95,82.95,75.41,7.540000000000006,9.9987,523.0,4338.285,1.0
300813.SZ,20200210,91.25,91.25,74.66,74.66,82.95,-8.290000000000006,-9.994,71711.19,555046.86,1.0
300813.SZ,20200211,72.42,72.9,67.19,67.19,74.66,-7.469999999999999,-10.0054,47040.69,324218.874,1.0
300813.SZ,20200212,65.23,66.71,63.2,66.15,67.19,-1.039999999999992,-1.5478,42157.6,274656.443,1.0
300813.SZ,20200213,65.85,68.7,64.08,68.2,66.15,2.049999999999997,3.099,42040.58,282406.334,1.0
300813.SZ,20200214,69.3,70.37,64.5,64.62,68.2,-3.5799999999999983,-5.2493,41863.79,282256.24,1.0
300813.SZ,20200217,66.41,69.19,66.11,68.57,64.62,3.9499999999999886,6.1127,44127.03,298157.492,1.0
300813.SZ,20200218,67.1,68.0,65.4,66.48,68.57,-2.089999999999989,-3.048,37152.03,245669.417,1.0
300813.SZ,20200219,66.59,66.59,64.5,64.55,66.48,-1.9300000000000068,-2.9031,26484.49,172535.098,1.0
300813.SZ,20200220,63.9,65.28,63.65,64.21,64.55,-0.3400000000000034,-0.5267,16753.74,107743.454,1.0
300813.SZ,20200221,64.39,65.46,63.91,64.29,64.21,0.0800000000000125,0.1246,17931.9,115821.52,1.0
300813.SZ,20200224,64.96,66.64,64.23,66.45,64.29,2.1599999999999966,3.3598,26505.84,174220.545,1.0
300813.SZ,20200225,65.2,72.4,65.2,69.79,66.45,3.3400000000000034,5.0263,40422.55,280026.884,1.0
300813.SZ,20200226,68.63,68.98,63.9,64.34,69.79,-5.450000000000003,-7.8091,29315.32,194082.71,1.0
300813.SZ,20200227,63.2,64.75,61.5,62.01,64.34,-2.3300000000000054,-3.6214,18068.41,113195.928,1.0
300813.SZ,20200228,60.99,64.29,60.52,61.4,62.01,-0.6099999999999994,-0.9837,17618.67,110760.37,1.0
300813.SZ,20200302,62.0,63.1,59.0,62.45,61.4,1.0500000000000043,1.7101,17984.63,110152.411,1.0
300813.SZ,20200303,64.0,64.0,61.68,61.88,62.45,-0.5700000000000003,-0.9127,17758.0,112082.422,1.0
300813.SZ,20200304,61.88,63.29,60.03,63.25,61.88,1.3699999999999974,2.214,18096.71,112450.701,1.0
300813.SZ,20200305,63.88,65.34,63.6,65.2,63.25,1.9500000000000028,3.083,22754.18,146890.882,1.0
